gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.17054,0.76056,2.2598,0.33656,0.73645,,CD8,UC_vs_HC
AL669831.5,5.0409,-0.65264,0.58492,-1.1158,0.26452,0.70899,CD8,UC_vs_HC
FAM87B,0.015566,0.6769,4.1362,0.16365,0.87,,CD8,UC_vs_HC
LINC00115,4.0206,-0.16215,0.55256,-0.29345,0.76918,0.95188,CD8,UC_vs_HC
FAM41C,2.6536,-0.17496,0.76705,-0.22809,0.81957,0.96486,CD8,UC_vs_HC
AL645608.3,0.11131,1.2917,4.0672,0.31759,0.7508,,CD8,UC_vs_HC
AL645608.1,0.05528,0.23078,4.0638,0.056789,0.95471,,CD8,UC_vs_HC
SAMD11,0.031132,0.64671,4.137,0.15632,0.87578,,CD8,UC_vs_HC
NOC2L,30.736,-0.25678,0.21626,-1.1874,0.23507,0.68059,CD8,UC_vs_HC
KLHL17,1.1615,-0.46219,1.0157,-0.45502,0.64909,,CD8,UC_vs_HC
PLEKHN1,2.4039,-0.74914,0.86401,-0.86705,0.38592,0.79772,CD8,UC_vs_HC
PERM1,0.18953,0.17469,2.496,0.069987,0.9442,,CD8,UC_vs_HC
AL645608.8,1.3479,-1.7942,1.0146,-1.7684,0.076991,,CD8,UC_vs_HC
HES4,4.2126,0.35362,1.1607,0.30465,0.76063,0.95027,CD8,UC_vs_HC
ISG15,266.94,-0.31992,0.40038,-0.79904,0.42427,0.82267,CD8,UC_vs_HC
AL645608.2,0.073409,1.5291,4.0168,0.38068,0.70344,,CD8,UC_vs_HC
AGRN,1.4376,-0.19585,1.0021,-0.19544,0.84505,,CD8,UC_vs_HC
AL645608.9,0.20853,0.81958,2.4909,0.32903,0.74213,,CD8,UC_vs_HC
C1orf159,2.0364,-0.93212,0.80838,-1.1531,0.24888,0.69684,CD8,UC_vs_HC
AL390719.2,0.1819,-0.58249,2.8908,-0.2015,0.84031,,CD8,UC_vs_HC
TTLL10-AS1,0.061355,0.30505,4.0647,0.075049,0.94018,,CD8,UC_vs_HC
TTLL10,0.96919,-2.641,1.375,-1.9207,0.054771,,CD8,UC_vs_HC
TNFRSF18,69.375,0.3325,0.95721,0.34737,0.72832,0.93787,CD8,UC_vs_HC
TNFRSF4,16.272,2.3034,0.79506,2.8971,0.0037665,0.095632,CD8,UC_vs_HC
SDF4,19.944,-0.6323,0.52668,-1.2006,0.22992,0.67425,CD8,UC_vs_HC
B3GALT6,4.0832,1.0443,0.70854,1.4739,0.1405,0.57057,CD8,UC_vs_HC
C1QTNF12,0.33703,1.6789,1.9307,0.86957,0.38453,,CD8,UC_vs_HC
AL162741.1,0.18615,1.1419,2.4314,0.46964,0.63861,,CD8,UC_vs_HC
UBE2J2,14.449,0.37462,0.51854,0.72246,0.47001,0.84152,CD8,UC_vs_HC
LINC01786,0.067065,0.19308,4.0778,0.047349,0.96223,,CD8,UC_vs_HC
SCNN1D,0.61238,0.058046,1.5313,0.037907,0.96976,,CD8,UC_vs_HC
ACAP3,3.3805,-1.9462,0.83956,-2.3181,0.020443,0.24454,CD8,UC_vs_HC
PUSL1,7.0826,0.51102,0.65231,0.78339,0.4334,0.82786,CD8,UC_vs_HC
INTS11,23.086,-0.21949,0.25319,-0.86689,0.386,0.79773,CD8,UC_vs_HC
CPTP,4.4864,-0.2118,0.63361,-0.33428,0.73817,0.94103,CD8,UC_vs_HC
TAS1R3,0.24345,0.62812,2.5548,0.24586,0.80579,,CD8,UC_vs_HC
DVL1,1.7676,-0.60633,0.88884,-0.68216,0.49514,,CD8,UC_vs_HC
MXRA8,0.14244,1.2357,4.0527,0.30491,0.76043,,CD8,UC_vs_HC
AURKAIP1,68.996,0.97568,0.62337,1.5652,0.11754,0.53672,CD8,UC_vs_HC
CCNL2,24.811,-0.042501,0.3377,-0.12585,0.89985,0.98462,CD8,UC_vs_HC
MRPL20,104.16,0.048192,0.16582,0.29063,0.77133,0.95229,CD8,UC_vs_HC
AL391244.3,0.63636,-0.23032,1.4519,-0.15863,0.87396,,CD8,UC_vs_HC
VWA1,0.024554,1.1355,4.0689,0.27907,0.78019,,CD8,UC_vs_HC
ATAD3C,1.0977,-1.1471,1.0079,-1.1381,0.25507,,CD8,UC_vs_HC
ATAD3B,5.7494,-0.057133,0.46936,-0.12172,0.90312,0.98508,CD8,UC_vs_HC
ATAD3A,3.7585,0.27415,0.62616,0.43783,0.66151,0.92012,CD8,UC_vs_HC
SSU72,60.572,0.16077,0.24372,0.65964,0.50948,0.86149,CD8,UC_vs_HC
AL645728.1,4.3166,-0.69677,0.5118,-1.3614,0.17339,0.61387,CD8,UC_vs_HC
FNDC10,0.26265,0.23886,2.002,0.11931,0.90503,,CD8,UC_vs_HC
AL691432.2,1.601,-0.041147,1.0256,-0.040118,0.968,,CD8,UC_vs_HC
MIB2,14.746,0.38105,0.88789,0.42916,0.66781,0.92047,CD8,UC_vs_HC
MMP23B,1.8875,-2.7279,1.3071,-2.087,0.036892,,CD8,UC_vs_HC
CDK11B,33.375,-0.43486,0.2756,-1.5779,0.11459,0.53382,CD8,UC_vs_HC
