gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL021154.1,0.014847,3.2046,3.7229,0.86077,0.38936,0.76923,Epithelium Ribhi,UC_vs_CD
ID3,90.855,0.14923,0.40178,0.37143,0.71032,0.87918,Epithelium Ribhi,UC_vs_CD
MDS2,0.12983,3.3754,1.9283,1.7504,0.080042,0.76923,Epithelium Ribhi,UC_vs_CD
RPL11,835.23,0.25191,0.30009,0.83945,0.40122,0.76923,Epithelium Ribhi,UC_vs_CD
ELOA,7.9928,-0.29763,0.52088,-0.5714,0.56773,0.80091,Epithelium Ribhi,UC_vs_CD
ELOA-AS1,0.65726,0.6117,1.2605,0.4853,0.62746,0.83476,Epithelium Ribhi,UC_vs_CD
PITHD1,5.1903,-0.98748,0.75085,-1.3152,0.18846,0.76923,Epithelium Ribhi,UC_vs_CD
LYPLA2,16.773,0.19892,0.39015,0.50985,0.61016,0.82471,Epithelium Ribhi,UC_vs_CD
GALE,33.159,0.26803,0.32449,0.826,0.4088,0.76923,Epithelium Ribhi,UC_vs_CD
HMGCL,7.6224,-0.52671,0.64137,-0.82123,0.41151,0.76923,Epithelium Ribhi,UC_vs_CD
FUCA1,12.526,-0.57333,0.53222,-1.0772,0.28137,0.76923,Epithelium Ribhi,UC_vs_CD
CNR2,0.013889,3.1097,3.773,0.82422,0.40982,0.76923,Epithelium Ribhi,UC_vs_CD
PNRC2,28.714,-0.10832,0.35443,-0.30561,0.7599,0.90518,Epithelium Ribhi,UC_vs_CD
SRSF10,56.634,0.36535,0.29786,1.2266,0.21997,0.76923,Epithelium Ribhi,UC_vs_CD
MYOM3,0.15127,2.8469,1.7453,1.6312,0.10286,0.76923,Epithelium Ribhi,UC_vs_CD
IL22RA1,1.4909,1.0965,0.98665,1.1114,0.2664,0.76923,Epithelium Ribhi,UC_vs_CD
IFNLR1,0.73941,2.2551,1.1692,1.9287,0.053766,0.76923,Epithelium Ribhi,UC_vs_CD
AL590683.1,0.052396,3.1233,2.182,1.4314,0.15232,0.76923,Epithelium Ribhi,UC_vs_CD
GRHL3,0.063898,2.5081,4.066,0.61685,0.53733,0.78486,Epithelium Ribhi,UC_vs_CD
STPG1,4.6174,-1.6779,0.99295,-1.6898,0.091062,0.76923,Epithelium Ribhi,UC_vs_CD
NIPAL3,6.9282,-0.17595,0.56804,-0.30975,0.75675,0.90376,Epithelium Ribhi,UC_vs_CD
RCAN3,3.2829,0.3835,0.85604,0.448,0.65416,0.84915,Epithelium Ribhi,UC_vs_CD
AL445686.2,0.60128,0.35377,1.488,0.23776,0.81207,0.92786,Epithelium Ribhi,UC_vs_CD
NCMAP,0.45246,0.50488,1.7465,0.28907,0.77253,0.91058,Epithelium Ribhi,UC_vs_CD
SRRM1,58.799,0.079777,0.26535,0.30065,0.76368,0.9067,Epithelium Ribhi,UC_vs_CD
CLIC4,2.123,0.67656,0.90522,0.7474,0.45482,0.76923,Epithelium Ribhi,UC_vs_CD
RUNX3,1.1452,0.18797,1.9868,0.094606,0.92463,0.9719,Epithelium Ribhi,UC_vs_CD
AL031432.1,0.052396,3.1233,2.182,1.4314,0.15232,0.76923,Epithelium Ribhi,UC_vs_CD
SYF2,34.191,0.020099,0.34768,0.057809,0.9539,0.98344,Epithelium Ribhi,UC_vs_CD
AL031432.5,0.057826,2.0882,1.7667,1.182,0.23723,0.76923,Epithelium Ribhi,UC_vs_CD
