gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
HP1BP3,107.39,-0.4389,0.22256,-1.9721,0.048603,0.23312,CD8,UC_vs_CD
EIF4G3,19.312,-0.22474,0.33912,-0.66271,0.50751,,CD8,UC_vs_CD
ECE1,10.914,-0.011489,0.31676,-0.03627,0.97107,,CD8,UC_vs_CD
AL031728.1,0.23722,0.34662,2.1812,0.15891,0.87374,,CD8,UC_vs_CD
NBPF3,1.3436,0.65296,1.148,0.56876,0.56952,,CD8,UC_vs_CD
ALPL,0.21353,-0.060195,2.4563,-0.024506,0.98045,,CD8,UC_vs_CD
RAP1GAP,0.042804,0.24362,4.0466,0.060204,0.95199,,CD8,UC_vs_CD
USP48,25.853,-0.21797,0.29828,-0.73075,0.46493,,CD8,UC_vs_CD
LDLRAD2,0.16283,1.2332,2.1497,0.57367,0.56619,,CD8,UC_vs_CD
HSPG2,0.062501,-0.22518,3.9938,-0.056383,0.95504,,CD8,UC_vs_CD
LINC01635,0.14104,0.82325,4.0885,0.20136,0.84042,,CD8,UC_vs_CD
CDC42,364.56,0.5846,0.27857,2.0986,0.035856,0.19441,CD8,UC_vs_CD
AL031281.2,0.27161,-1.0069,2.2585,-0.44581,0.65573,,CD8,UC_vs_CD
ZBTB40,9.2794,-0.18588,0.433,-0.4293,0.66771,,CD8,UC_vs_CD
C1QA,1.946,-0.91747,1.326,-0.6919,0.489,,CD8,UC_vs_CD
C1QC,0.7356,-1.2949,1.4994,-0.86357,0.38783,,CD8,UC_vs_CD
C1QB,1.0375,-1.3714,1.3408,-1.0228,0.30639,,CD8,UC_vs_CD
EPHB2,0.21762,0.35248,2.4133,0.14606,0.88388,,CD8,UC_vs_CD
KDM1A,7.6876,-1.0165,0.43804,-2.3207,0.020305,,CD8,UC_vs_CD
LUZP1,43.925,0.57016,0.232,2.4576,0.013986,0.13005,CD8,UC_vs_CD
LINC01355,1.3472,0.23649,0.87093,0.27153,0.78598,,CD8,UC_vs_CD
AL109936.6,0.12247,0.79504,2.6478,0.30026,0.76398,,CD8,UC_vs_CD
HNRNPR,137.14,0.28649,0.21387,1.3395,0.1804,0.45313,CD8,UC_vs_CD
ZNF436,1.2126,-0.90146,1.0166,-0.88671,0.37524,,CD8,UC_vs_CD
ZNF436-AS1,0.5302,0.2943,1.3047,0.22557,0.82154,,CD8,UC_vs_CD
TCEA3,0.53507,-1.6936,1.4542,-1.1646,0.24416,,CD8,UC_vs_CD
