gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
TFAP2E,0.010351,1.4482,3.9091,0.37046,0.71104,0.99809,B cell,UC_vs_CD
PSMB2,27.941,0.50823,0.29275,1.7361,0.082551,0.99809,B cell,UC_vs_CD
C1orf216,0.83514,0.89172,1.1873,0.75106,0.45262,0.99809,B cell,UC_vs_CD
CLSPN,1.7812,0.32859,1.4185,0.23165,0.81681,0.99809,B cell,UC_vs_CD
AGO4,1.9255,-0.2404,0.98739,-0.24347,0.80764,0.99809,B cell,UC_vs_CD
AGO1,3.7222,-0.29727,0.55876,-0.53202,0.59471,0.99809,B cell,UC_vs_CD
AL139286.2,0.020517,0.83167,3.9016,0.21316,0.8312,0.99809,B cell,UC_vs_CD
AGO3,10.384,-0.40478,0.43624,-0.92787,0.35347,0.99809,B cell,UC_vs_CD
AL138787.2,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
ADPRHL2,8.0658,-0.62723,0.65854,-0.95245,0.34087,0.99809,B cell,UC_vs_CD
COL8A2,0.17337,0.42509,2.4231,0.17543,0.86074,0.99809,B cell,UC_vs_CD
TRAPPC3,10.415,-0.20985,0.44953,-0.46683,0.64062,0.99809,B cell,UC_vs_CD
MAP7D1,4.866,0.10646,0.71397,0.14912,0.88146,0.99809,B cell,UC_vs_CD
THRAP3,49.401,0.28081,0.26823,1.0469,0.29515,0.99809,B cell,UC_vs_CD
SH3D21,0.13302,1.4061,3.2418,0.43373,0.66448,0.99809,B cell,UC_vs_CD
EVA1B,0.5266,0.95619,1.7567,0.54431,0.58623,0.99809,B cell,UC_vs_CD
AL591845.1,0.11558,1.5935,2.7973,0.56965,0.56891,0.99809,B cell,UC_vs_CD
STK40,4.8721,0.21831,0.63551,0.34353,0.7312,0.99809,B cell,UC_vs_CD
LSM10,27.385,0.92429,0.43853,2.1077,0.035057,0.99809,B cell,UC_vs_CD
OSCP1,0.30894,1.6554,1.7064,0.97011,0.33199,0.99809,B cell,UC_vs_CD
MRPS15,16.321,0.15463,0.4946,0.31264,0.75456,0.99809,B cell,UC_vs_CD
CSF3R,0.22108,-0.56332,1.9245,-0.2927,0.76975,0.99809,B cell,UC_vs_CD
LINC01137,0.016476,0.74525,2.3194,0.32131,0.74797,0.99809,B cell,UC_vs_CD
ZC3H12A,7.205,-0.52598,0.51034,-1.0307,0.3027,0.99809,B cell,UC_vs_CD
MEAF6,22.915,0.049548,0.34805,0.14236,0.8868,0.99809,B cell,UC_vs_CD
SNIP1,5.3495,-1.8301,0.65078,-2.8122,0.0049207,0.884,B cell,UC_vs_CD
GNL2,9.5777,0.2446,0.38384,0.63725,0.52396,0.99809,B cell,UC_vs_CD
C1orf109,3.0714,-0.2316,0.54014,-0.42877,0.66809,0.99809,B cell,UC_vs_CD
CDCA8,0.91836,1.5593,1.8023,0.86517,0.38695,0.99809,B cell,UC_vs_CD
MANEAL,0.067053,0.33769,3.0138,0.11205,0.91079,0.99809,B cell,UC_vs_CD
YRDC,1.9781,-0.44339,0.7216,-0.61446,0.53891,0.99809,B cell,UC_vs_CD
C1orf122,5.013,-1.6832,0.80718,-2.0853,0.037039,0.99809,B cell,UC_vs_CD
MTF1,4.8069,-0.53627,0.65575,-0.8178,0.41347,0.99809,B cell,UC_vs_CD
AL929472.2,0.17137,0.85779,1.8556,0.46228,0.64388,0.99809,B cell,UC_vs_CD
INPP5B,4.7107,-0.043145,0.6018,-0.071693,0.94285,0.99809,B cell,UC_vs_CD
SF3A3,10.97,0.10133,0.42499,0.23844,0.81154,0.99809,B cell,UC_vs_CD
FHL3,0.1445,1.1391,3.1295,0.36398,0.71587,0.99809,B cell,UC_vs_CD
UTP11,5.7703,0.37766,0.53725,0.70295,0.48209,0.99809,B cell,UC_vs_CD
POU3F1,0.31426,0.69778,2.0004,0.34881,0.72723,0.99809,B cell,UC_vs_CD
AL139158.3,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
LINC01685,0.31544,0.13047,1.2183,0.10708,0.91472,0.99809,B cell,UC_vs_CD
RRAGC,12.466,-0.55304,0.41907,-1.3197,0.18694,0.99809,B cell,UC_vs_CD
AL139260.1,0.70557,0.40375,1.096,0.3684,0.71258,0.99809,B cell,UC_vs_CD
MYCBP,2.734,0.60684,0.6156,0.98576,0.32425,0.99809,B cell,UC_vs_CD
AL139260.3,0.020517,0.83167,3.9016,0.21316,0.8312,0.99809,B cell,UC_vs_CD
RHBDL2,0.15216,-0.21821,2.9918,-0.072934,0.94186,0.99809,B cell,UC_vs_CD
AKIRIN1,18.743,-0.47513,0.36138,-1.3148,0.18858,0.99809,B cell,UC_vs_CD
NDUFS5,54.052,0.66177,0.23454,2.8216,0.0047784,0.87866,B cell,UC_vs_CD
MACF1,27.36,-0.26107,0.3614,-0.72237,0.47007,0.99809,B cell,UC_vs_CD
PABPC4,11.881,-0.26069,0.33721,-0.77308,0.43947,0.99809,B cell,UC_vs_CD
HEYL,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
PPIE,12.238,0.49033,0.46471,1.0551,0.29137,0.99809,B cell,UC_vs_CD
BMP8B,0.22323,0.89054,1.9394,0.45918,0.6461,0.99809,B cell,UC_vs_CD
OXCT2,0.18321,0.83454,1.678,0.49735,0.61894,0.99809,B cell,UC_vs_CD
AL033527.5,0.31102,0.93886,1.5489,0.60616,0.54441,0.99809,B cell,UC_vs_CD
TRIT1,2.269,0.34885,0.63186,0.55209,0.58088,0.99809,B cell,UC_vs_CD
MYCL,0.044453,1.1533,3.9603,0.29122,0.77089,0.99809,B cell,UC_vs_CD
MFSD2A,0.7809,0.43927,1.0861,0.40444,0.68589,0.99809,B cell,UC_vs_CD
CAP1,48.071,0.19492,0.31053,0.62768,0.53021,0.99809,B cell,UC_vs_CD
PPT1,6.5152,-0.42636,0.50277,-0.84801,0.39643,0.99809,B cell,UC_vs_CD
RLF,13.072,0.15689,0.53367,0.29398,0.76877,0.99809,B cell,UC_vs_CD
AL050341.2,0.89077,1.0326,0.89735,1.1508,0.24983,0.99809,B cell,UC_vs_CD
ZMPSTE24,3.8362,0.66586,0.58411,1.14,0.25431,0.99809,B cell,UC_vs_CD
COL9A2,2.4248,-0.3345,0.70679,-0.47327,0.63602,0.99809,B cell,UC_vs_CD
SMAP2,76.385,-0.44879,0.3435,-1.3065,0.19138,0.99809,B cell,UC_vs_CD
AL031985.4,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
ZFP69B,1.4061,0.45849,0.91161,0.50294,0.61501,0.99809,B cell,UC_vs_CD
ZFP69,0.252,-0.71847,1.4531,-0.49443,0.621,0.99809,B cell,UC_vs_CD
AL603839.3,0.19298,1.0752,1.7335,0.62024,0.5351,0.99809,B cell,UC_vs_CD
EXO5,1.7404,-0.16118,0.8297,-0.19426,0.84597,0.99809,B cell,UC_vs_CD
AL603839.1,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
ZNF684,0.76994,0.43865,0.97068,0.4519,0.65134,0.99809,B cell,UC_vs_CD
RIMS3,0.38007,0.098168,2.0734,0.047347,0.96224,0.99809,B cell,UC_vs_CD
NFYC-AS1,1.1484,0.19738,0.91406,0.21594,0.82903,0.99809,B cell,UC_vs_CD
NFYC,9.1052,-0.52921,0.44335,-1.1937,0.23261,0.99809,B cell,UC_vs_CD
CITED4,0.15007,0.34976,2.7648,0.1265,0.89933,0.99809,B cell,UC_vs_CD
CTPS1,3.909,0.86068,0.58354,1.4749,0.14023,0.99809,B cell,UC_vs_CD
SLFNL1-AS1,0.14317,-0.053727,2.2,-0.024422,0.98052,0.99809,B cell,UC_vs_CD
SLFNL1,0.2273,-0.45259,2.2373,-0.2023,0.83968,0.99809,B cell,UC_vs_CD
SCMH1,1.282,-0.70588,1.1394,-0.61952,0.53558,0.99809,B cell,UC_vs_CD
HIVEP3,4.2727,-0.4319,0.69973,-0.61724,0.53708,0.99809,B cell,UC_vs_CD
GUCA2B,0.33561,-0.13206,2.1189,-0.062325,0.9503,0.99809,B cell,UC_vs_CD
GUCA2A,0.40287,0.42689,2.1954,0.19445,0.84582,0.99809,B cell,UC_vs_CD
FOXJ3,6.2885,-0.5379,0.52509,-1.0244,0.30565,0.99809,B cell,UC_vs_CD
RIMKLA,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
ZMYND12,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
PPCS,14.069,-0.43863,0.36568,-1.1995,0.23034,0.99809,B cell,UC_vs_CD
CCDC30,1.475,0.18018,0.86767,0.20766,0.8355,0.99809,B cell,UC_vs_CD
PPIH,9.6302,0.74462,0.33785,2.204,0.027524,0.99809,B cell,UC_vs_CD
AC098484.2,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
YBX1,73.231,-0.45421,0.58425,-0.77743,0.4369,0.99809,B cell,UC_vs_CD
P3H1,1.2595,0.022582,0.80666,0.027994,0.97767,0.99809,B cell,UC_vs_CD
C1orf50,2.5441,-0.55223,0.62928,-0.87756,0.38018,0.99809,B cell,UC_vs_CD
AC098484.3,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
AC098484.1,0.10005,1.164,3.9517,0.29454,0.76834,0.99809,B cell,UC_vs_CD
SVBP,10.851,0.083606,0.49457,0.16905,0.86576,0.99809,B cell,UC_vs_CD
ERMAP,0.68558,0.35698,1.0923,0.32682,0.7438,0.99809,B cell,UC_vs_CD
AL512353.1,0.53903,0.65223,1.6292,0.40035,0.6889,0.99809,B cell,UC_vs_CD
ZNF691,0.78438,0.033304,1.0321,0.032268,0.97426,0.99809,B cell,UC_vs_CD
SLC2A1,7.289,-0.26733,0.39058,-0.68445,0.49369,0.99809,B cell,UC_vs_CD
SLC2A1-AS1,0.41721,-0.21303,1.32,-0.16138,0.87179,0.99809,B cell,UC_vs_CD
EBNA1BP2,9.3804,0.17648,0.35388,0.49869,0.618,0.99809,B cell,UC_vs_CD
CFAP57,0.031997,1.7288,3.8724,0.44644,0.65528,0.99809,B cell,UC_vs_CD
TIE1,0.21102,1.7267,1.7886,0.96536,0.33436,0.99809,B cell,UC_vs_CD
AL139289.2,0.086801,1.7173,1.9975,0.85973,0.38994,0.99809,B cell,UC_vs_CD
CDC20,0.68619,2.3994,2.4793,0.96778,,,B cell,UC_vs_CD
ELOVL1,8.2112,0.26396,0.41249,0.63993,0.52222,0.99809,B cell,UC_vs_CD
MED8,8.933,0.44397,0.39482,1.1245,0.26081,0.99809,B cell,UC_vs_CD
SZT2,3.5135,-1.2629,0.68138,-1.8535,0.063812,0.99809,B cell,UC_vs_CD
HYI,1.0275,0.29541,1.1947,0.24727,0.8047,0.99809,B cell,UC_vs_CD
PTPRF,0.70086,-1.6293,1.3525,-1.2046,0.22834,0.99809,B cell,UC_vs_CD
AL451062.3,0.036929,0.51943,3.8722,0.13414,0.89329,0.99809,B cell,UC_vs_CD
KDM4A,2.2934,0.047389,0.65104,0.072791,0.94197,0.99809,B cell,UC_vs_CD
KDM4A-AS1,0.4604,0.76719,1.2991,0.59054,0.55483,0.99809,B cell,UC_vs_CD
ST3GAL3,1.5465,-0.79272,0.86337,-0.91817,0.35853,0.99809,B cell,UC_vs_CD
AL451062.1,0.14086,0.07914,2.9375,0.026941,0.97851,0.99809,B cell,UC_vs_CD
AL357079.1,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
IPO13,0.66988,0.37683,1.0653,0.35372,0.72355,0.99809,B cell,UC_vs_CD
DPH2,2.5081,0.41501,0.6302,0.65853,0.5102,0.99809,B cell,UC_vs_CD
ATP6V0B,51.7,0.12186,0.38459,0.31685,0.75136,0.99809,B cell,UC_vs_CD
B4GALT2,0.41717,1.8041,1.3973,1.2912,0.19665,0.99809,B cell,UC_vs_CD
CCDC24,0.21815,0.01325,1.1594,0.011428,0.99088,0.99927,B cell,UC_vs_CD
SLC6A9,0.010351,1.4482,3.9091,0.37046,0.71104,0.99809,B cell,UC_vs_CD
AL139220.2,0.19332,0.090829,2.2246,0.040829,0.96743,0.99809,B cell,UC_vs_CD
DMAP1,7.0951,0.57502,0.43632,1.3179,0.18755,0.99809,B cell,UC_vs_CD
ERI3,5.8124,0.40462,0.57093,0.7087,0.47851,0.99809,B cell,UC_vs_CD
RNF220,3.799,-0.35709,0.54052,-0.66065,0.50884,0.99809,B cell,UC_vs_CD
TMEM53,1.3467,1.5235,1.0023,1.52,0.12851,0.99809,B cell,UC_vs_CD
ARMH1,2.335,0.83009,0.78432,1.0584,0.28989,0.99809,B cell,UC_vs_CD
KIF2C,0.72613,2.6459,2.1477,1.232,0.21794,0.99809,B cell,UC_vs_CD
AL592166.1,0.090608,0.97539,1.9619,0.49717,0.61907,0.99809,B cell,UC_vs_CD
RPS8,2127.8,0.66344,0.2909,2.2806,0.022572,0.99809,B cell,UC_vs_CD
BEST4,0.66555,0.77639,2.0034,0.38754,0.69836,0.99809,B cell,UC_vs_CD
PLK3,4.9615,-0.63553,0.67921,-0.93568,0.34944,0.99809,B cell,UC_vs_CD
BTBD19,0.086233,-0.46886,2.7762,-0.16889,0.86589,0.99809,B cell,UC_vs_CD
PTCH2,0.44048,-0.84339,1.2003,-0.70267,0.48226,0.99809,B cell,UC_vs_CD
EIF2B3,3.3873,-0.65753,0.85013,-0.77345,0.43925,0.99809,B cell,UC_vs_CD
HECTD3,1.1967,-0.2956,0.88567,-0.33376,0.73856,0.99809,B cell,UC_vs_CD
UROD,5.3247,0.6245,0.45494,1.3727,0.16984,0.99809,B cell,UC_vs_CD
ZSWIM5,0.020517,0.83167,3.9016,0.21316,0.8312,0.99809,B cell,UC_vs_CD
LINC01144,0.0051756,1.3247,3.9275,0.33729,0.7359,0.99809,B cell,UC_vs_CD
HPDL,0.051385,0.87347,2.2595,0.38657,0.69907,0.99809,B cell,UC_vs_CD
MUTYH,1.9698,0.045821,0.71265,0.064296,0.94873,0.99809,B cell,UC_vs_CD
TOE1,5.3663,0.056039,0.54555,0.10272,0.91819,0.99809,B cell,UC_vs_CD
TESK2,2.2775,-1.0389,0.82219,-1.2635,0.2064,0.99809,B cell,UC_vs_CD
CCDC163,0.55919,-0.97273,1.7103,-0.56874,0.56953,0.99809,B cell,UC_vs_CD
MMACHC,0.080232,0.27576,1.7379,0.15868,0.87392,0.99809,B cell,UC_vs_CD
PRDX1,82.624,0.25334,0.27468,0.92232,0.35636,0.99809,B cell,UC_vs_CD
AKR1A1,21.269,0.59654,0.27534,2.1666,0.030267,0.99809,B cell,UC_vs_CD
NASP,46.778,-0.058139,0.32017,-0.18159,0.8559,0.99809,B cell,UC_vs_CD
CCDC17,0.14757,1.9786,2.0082,0.98528,0.32449,0.99809,B cell,UC_vs_CD
GPBP1L1,13.074,-0.12253,0.30686,-0.3993,0.68968,0.99809,B cell,UC_vs_CD
TMEM69,2.7133,0.043741,0.99459,0.043979,0.96492,0.99809,B cell,UC_vs_CD
IPP,1.9289,0.45264,0.64252,0.70447,0.48114,0.99809,B cell,UC_vs_CD
MAST2,0.69562,0.36661,1.02,0.35941,0.71929,0.99809,B cell,UC_vs_CD
PIK3R3,0.10671,1.248,3.1176,0.4003,0.68894,0.99809,B cell,UC_vs_CD
TSPAN1,0.55517,-1.7751,1.4981,-1.1849,0.23604,0.99809,B cell,UC_vs_CD
POMGNT1,3.2152,0.21931,0.577,0.38008,0.70389,0.99809,B cell,UC_vs_CD
RAD54L,0.1198,1.4994,2.0928,0.71646,0.47371,0.99809,B cell,UC_vs_CD
LRRC41,6.8629,-0.023956,0.39809,-0.060178,0.95201,0.99809,B cell,UC_vs_CD
UQCRH,133.84,0.57991,0.19738,2.938,0.0033034,0.81394,B cell,UC_vs_CD
