gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AGO4,1.3227,0.17233,1.1561,0.14906,0.8815,,PC IgG,CD_vs_HC
AGO1,3.1072,-0.70929,0.63691,-1.1136,0.26543,,PC IgG,CD_vs_HC
AL139286.2,0.060539,-0.96581,4.1536,-0.23252,0.81613,,PC IgG,CD_vs_HC
AGO3,10.44,-0.92132,0.49048,-1.8784,0.060325,,PC IgG,CD_vs_HC
AL138787.2,0.0068398,-1.6036,4.2315,-0.37895,0.70472,,PC IgG,CD_vs_HC
TEKT2,0.034429,-1.1893,4.1622,-0.28574,0.77508,,PC IgG,CD_vs_HC
ADPRHL2,4.5754,0.98547,0.85915,1.147,0.25137,,PC IgG,CD_vs_HC
TRAPPC3,35.473,0.46069,0.4451,1.035,0.30066,0.55035,PC IgG,CD_vs_HC
MAP7D1,8.7745,-0.36603,0.4823,-0.75893,0.44789,,PC IgG,CD_vs_HC
THRAP3,47.003,-0.12063,0.27076,-0.44554,0.65593,0.83024,PC IgG,CD_vs_HC
SH3D21,3.0497,-0.85186,0.83316,-1.0225,0.30657,,PC IgG,CD_vs_HC
EVA1B,3.8754,0.56031,1.541,0.36361,0.71615,,PC IgG,CD_vs_HC
AL591845.1,0.24572,-0.99323,4.1534,-0.23913,0.811,,PC IgG,CD_vs_HC
STK40,4.64,1.2757,0.81554,1.5642,0.11776,,PC IgG,CD_vs_HC
LSM10,59.98,0.29898,0.3751,0.79706,0.42541,0.67227,PC IgG,CD_vs_HC
OSCP1,0.80663,-1.9389,1.3193,-1.4696,0.14167,,PC IgG,CD_vs_HC
MRPS15,41.655,0.42801,0.39395,1.0865,0.27727,0.5282,PC IgG,CD_vs_HC
CSF3R,0.19895,-0.602,2.7111,-0.22205,0.82427,,PC IgG,CD_vs_HC
LINC01137,0.42735,-1.8531,1.6782,-1.1042,0.2695,,PC IgG,CD_vs_HC
ZC3H12A,5.9591,-0.16641,0.67099,-0.24801,0.80413,,PC IgG,CD_vs_HC
MEAF6,23.65,-0.82421,0.28797,-2.8622,0.0042075,0.045551,PC IgG,CD_vs_HC
SNIP1,6.1596,0.75948,0.66549,1.1412,0.25377,,PC IgG,CD_vs_HC
GNL2,10.23,0.56618,0.48577,1.1655,0.2438,,PC IgG,CD_vs_HC
C1orf109,4.9122,1.6242,0.8225,1.9747,0.048306,,PC IgG,CD_vs_HC
CDCA8,0.42274,-0.8242,2.4558,-0.33562,0.73716,,PC IgG,CD_vs_HC
EPHA10,0.16181,-0.15785,2.739,-0.057629,0.95404,,PC IgG,CD_vs_HC
MANEAL,0.5305,0.18177,1.4659,0.124,0.90132,,PC IgG,CD_vs_HC
YRDC,1.7712,-0.50963,1.2402,-0.41093,0.68112,,PC IgG,CD_vs_HC
C1orf122,20.538,1.3414,0.83231,1.6116,0.10705,0.30965,PC IgG,CD_vs_HC
MTF1,3.0384,-0.41234,0.7897,-0.52215,0.60156,,PC IgG,CD_vs_HC
AL929472.2,0.25417,-2.2847,3.9838,-0.5735,0.56631,,PC IgG,CD_vs_HC
INPP5B,3.9281,-0.5281,0.709,-0.74485,0.45636,,PC IgG,CD_vs_HC
SF3A3,13.875,-0.74897,0.37995,-1.9712,0.048698,,PC IgG,CD_vs_HC
FHL3,0.75673,-1.4276,1.4476,-0.9862,0.32404,,PC IgG,CD_vs_HC
UTP11,18.377,0.0001176,0.41413,0.00028397,0.99977,,PC IgG,CD_vs_HC
POU3F1,0.19177,-0.24779,2.968,-0.08349,0.93346,,PC IgG,CD_vs_HC
LINC01685,0.45494,-0.93823,1.7251,-0.54386,0.58654,,PC IgG,CD_vs_HC
RRAGC,5.6332,0.042754,0.54038,0.079119,0.93694,,PC IgG,CD_vs_HC
AL139260.1,0.29631,0.18137,2.3759,0.076336,0.93915,,PC IgG,CD_vs_HC
MYCBP,7.325,-0.38343,0.58984,-0.65006,0.51565,,PC IgG,CD_vs_HC
RHBDL2,0.047431,-1.2771,4.1698,-0.30626,0.75941,,PC IgG,CD_vs_HC
AKIRIN1,14.027,0.43971,0.53422,0.82309,0.41046,,PC IgG,CD_vs_HC
NDUFS5,141.84,0.40059,0.19597,2.0441,0.040945,0.17919,PC IgG,CD_vs_HC
MACF1,13.961,0.30026,0.42878,0.70027,0.48376,,PC IgG,CD_vs_HC
