paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614359_UC-6,CD4,UC_vs_HC,SESN2,3.802,-1.3587,0.034481
GSM6614360_CD-1,CD4,UC_vs_HC,SESN2,3.5281,-1.3587,0.034481
GSM6614361_CD-2,CD4,UC_vs_HC,SESN2,4.3075,-1.3587,0.034481
GSM6614362_CD-3,CD4,UC_vs_HC,SESN2,4.7858,-1.3587,0.034481
GSM6614363_CD-4,CD4,UC_vs_HC,SESN2,3.9866,-1.3587,0.034481
GSM6614364_CD-5,CD4,UC_vs_HC,SESN2,3.6633,-1.3587,0.034481
GSM6614365_CD-6,CD4,UC_vs_HC,SESN2,3.8099,-1.3587,0.034481
GSM6614348_HC-1,CD4,UC_vs_HC,SYNC,3.9807,1.2961,0.019161
GSM6614349_HC-2,CD4,UC_vs_HC,SYNC,3.5743,1.2961,0.019161
GSM6614350_HC-3,CD4,UC_vs_HC,SYNC,3.3652,1.2961,0.019161
GSM6614351_HC-4,CD4,UC_vs_HC,SYNC,2.2299,1.2961,0.019161
GSM6614352_HC-5,CD4,UC_vs_HC,SYNC,3.0567,1.2961,0.019161
GSM6614353_HC-6,CD4,UC_vs_HC,SYNC,2.702,1.2961,0.019161
GSM6614354_UC-1,CD4,UC_vs_HC,SYNC,4.2115,1.2961,0.019161
GSM6614355_UC-2,CD4,UC_vs_HC,SYNC,4.5397,1.2961,0.019161
GSM6614356_UC-3,CD4,UC_vs_HC,SYNC,5.2289,1.2961,0.019161
GSM6614357_UC-4,CD4,UC_vs_HC,SYNC,4.635,1.2961,0.019161
GSM6614358_UC-5,CD4,UC_vs_HC,SYNC,4.0575,1.2961,0.019161
GSM6614359_UC-6,CD4,UC_vs_HC,SYNC,4.5558,1.2961,0.019161
GSM6614360_CD-1,CD4,UC_vs_HC,SYNC,4.0355,1.2961,0.019161
