gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
SMPDL3B,5.966,-0.92653,0.38997,-2.3759,0.017505,0.27846,Goblet,CD_vs_HC
XKR8,0.82788,-0.14599,0.96795,-0.15082,0.88012,,Goblet,CD_vs_HC
EYA3,3.4085,1.0541,0.60986,1.7285,0.083907,0.51087,Goblet,CD_vs_HC
PTAFR,1.0396,2.199,1.7103,1.2857,0.19854,,Goblet,CD_vs_HC
DNAJC8,13.604,-0.013553,0.2917,-0.046461,0.96294,0.99208,Goblet,CD_vs_HC
ATP5IF1,125.29,-0.32618,0.25503,-1.279,0.2009,0.67687,Goblet,CD_vs_HC
AL353622.1,0.74882,-0.11558,0.89826,-0.12867,0.89762,,Goblet,CD_vs_HC
AL353622.2,0.13949,-0.69846,2.2547,-0.30978,0.75673,,Goblet,CD_vs_HC
SESN2,3.6171,0.087507,0.49153,0.17803,0.8587,0.97794,Goblet,CD_vs_HC
MED18,2.7814,1.0161,0.52977,1.9179,0.055121,,Goblet,CD_vs_HC
PHACTR4,18.381,-0.17937,0.26369,-0.68022,0.49636,0.8792,Goblet,CD_vs_HC
RCC1,5.6083,0.054364,0.39251,0.1385,0.88984,0.98241,Goblet,CD_vs_HC
TRNAU1AP,6.0116,-0.50534,0.3547,-1.4247,0.15425,0.62417,Goblet,CD_vs_HC
SNHG12,29.34,0.27931,0.46273,0.60361,0.5461,0.89676,Goblet,CD_vs_HC
TAF12,5.068,-0.11051,0.43556,-0.25372,0.79971,0.96212,Goblet,CD_vs_HC
RAB42,0.11768,0.22286,2.3697,0.094046,0.92507,,Goblet,CD_vs_HC
LINC01715,0.14488,-0.55776,2.9494,-0.18911,0.85001,,Goblet,CD_vs_HC
AL360012.1,5.2308,0.0068136,0.63952,0.010654,0.9915,0.99808,Goblet,CD_vs_HC
GMEB1,2.7915,-0.43633,0.53421,-0.81677,0.41406,,Goblet,CD_vs_HC
YTHDF2,12.964,0.0694,0.29324,0.23666,0.81292,0.96548,Goblet,CD_vs_HC
OPRD1,0.091847,1.3856,3.7035,0.37413,0.70831,,Goblet,CD_vs_HC
AL009181.1,0.18298,0.72566,2.7886,0.26023,0.79469,,Goblet,CD_vs_HC
EPB41,13.368,-0.014552,0.27354,-0.053197,0.95757,0.99205,Goblet,CD_vs_HC
TMEM200B,0.035409,-0.18027,3.7591,-0.047955,0.96175,,Goblet,CD_vs_HC
AL357500.1,0.048045,0.35386,3.6827,0.096086,0.92345,,Goblet,CD_vs_HC
SRSF4,25.818,0.44427,0.22673,1.9595,0.050056,0.42793,Goblet,CD_vs_HC
MECR,2.3762,0.18804,0.58411,0.32193,0.74751,,Goblet,CD_vs_HC
PTPRU,0.30398,-0.53869,2.7398,-0.19662,0.84413,,Goblet,CD_vs_HC
LINC01648,0.045924,1.0662,3.7311,0.28574,0.77507,,Goblet,CD_vs_HC
MATN1,0.2241,-1.085,1.7964,-0.60401,0.54584,,Goblet,CD_vs_HC
MATN1-AS1,1.1499,0.35261,0.76116,0.46326,0.64318,,Goblet,CD_vs_HC
LAPTM5,2.1518,1.357,0.8115,1.6722,0.094482,,Goblet,CD_vs_HC
LINC01778,0.074132,0.51467,3.6632,0.14049,0.88827,,Goblet,CD_vs_HC
SDC3,0.33306,1.0943,2.5731,0.42528,0.67063,,Goblet,CD_vs_HC
PUM1,19.268,-0.12859,0.30198,-0.42582,0.67024,0.93328,Goblet,CD_vs_HC
NKAIN1,0.022962,0.80201,3.7604,0.21328,0.83111,,Goblet,CD_vs_HC
SNRNP40,2.9801,0.16003,0.50196,0.31881,0.74987,0.95117,Goblet,CD_vs_HC
ZCCHC17,6.6427,-0.68278,0.38329,-1.7814,0.07485,0.49678,Goblet,CD_vs_HC
SERINC2,45.913,-0.58773,0.20759,-2.8312,0.0046376,0.14801,Goblet,CD_vs_HC
AC114488.1,0.061684,1.362,3.6942,0.36867,0.71237,,Goblet,CD_vs_HC
TINAGL1,7.6877,0.53888,0.41392,1.3019,0.19296,0.66961,Goblet,CD_vs_HC
PEF1,6.7468,0.056792,0.36068,0.15746,0.87489,0.97975,Goblet,CD_vs_HC
AC114488.3,0.055963,1.2115,3.7112,0.32644,0.74409,,Goblet,CD_vs_HC
COL16A1,15.858,1.5605,0.46356,3.3664,0.00076164,0.050237,Goblet,CD_vs_HC
ADGRB2,0.71375,0.8714,1.2933,0.67377,0.50046,,Goblet,CD_vs_HC
AL136115.2,0.3756,-1.2689,1.4228,-0.89183,0.37248,,Goblet,CD_vs_HC
PTP4A2,26.947,0.24134,0.30116,0.80139,0.4229,0.85014,Goblet,CD_vs_HC
KHDRBS1,11.709,0.26004,0.45606,0.57018,0.56856,0.90636,Goblet,CD_vs_HC
AL445248.1,0.7199,-0.83093,1.9324,-0.43,0.6672,,Goblet,CD_vs_HC
TMEM39B,2.1648,0.0031095,0.58446,0.0053203,0.99576,,Goblet,CD_vs_HC
KPNA6,7.4778,0.10996,0.34982,0.31433,0.75327,0.95287,Goblet,CD_vs_HC
TXLNA,7.4258,0.45246,0.31771,1.4242,0.1544,0.62425,Goblet,CD_vs_HC
CCDC28B,1.0336,-0.541,0.75534,-0.71624,0.47384,,Goblet,CD_vs_HC
AL049795.1,0.41708,0.92198,1.4746,0.62526,0.5318,,Goblet,CD_vs_HC
IQCC,3.4118,0.3728,0.64953,0.57395,0.566,0.90439,Goblet,CD_vs_HC
DCDC2B,0.2335,0.50695,1.7272,0.2935,0.76914,,Goblet,CD_vs_HC
TMEM234,4.2696,0.53117,0.4889,1.0864,0.27728,0.75289,Goblet,CD_vs_HC
EIF3I,19.324,0.028859,0.2337,0.12349,0.90172,0.98265,Goblet,CD_vs_HC
FAM167B,0.65487,2.1828,1.5378,1.4194,0.15577,,Goblet,CD_vs_HC
LCK,0.62339,1.7263,1.3041,1.3238,0.18558,,Goblet,CD_vs_HC
HDAC1,19.962,-0.20832,0.27525,-0.75684,0.44914,0.85902,Goblet,CD_vs_HC
MARCKSL1,43.624,-0.22908,0.2633,-0.87003,0.38428,0.8244,Goblet,CD_vs_HC
TSSK3,0.065067,0.51467,3.6632,0.14049,0.88827,,Goblet,CD_vs_HC
FAM229A,0.79419,2.1098,1.398,1.5092,0.13126,,Goblet,CD_vs_HC
BSDC1,13.195,-0.10751,0.25777,-0.41709,0.67661,0.93577,Goblet,CD_vs_HC
