gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
FAAH,1.2452,-1.1532,0.9494,-1.2147,0.2245,,PC IgG,UC_vs_CD
MKNK1,6.6362,0.17606,0.30033,0.5862,0.55774,0.809,PC IgG,UC_vs_CD
MOB3C,3.4883,-0.12899,0.51913,-0.24847,0.80377,,PC IgG,UC_vs_CD
ATPAF1,6.4463,0.60812,0.65876,0.92313,0.35594,0.67947,PC IgG,UC_vs_CD
EFCAB14,9.9649,-0.61629,0.40847,-1.5088,0.13136,0.45137,PC IgG,UC_vs_CD
PDZK1IP1,0.053354,-0.85175,3.9354,-0.21644,0.82865,,PC IgG,UC_vs_CD
STIL,0.39732,-0.44329,1.3513,-0.32804,0.74288,,PC IgG,UC_vs_CD
CMPK1,22.836,-0.58799,0.39344,-1.4945,0.13505,0.45605,PC IgG,UC_vs_CD
LINC01389,0.0068398,-1.1347,3.9654,-0.28616,0.77476,,PC IgG,UC_vs_CD
FOXE3,0.020149,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
FOXD2-AS1,0.047697,-1.4463,3.8764,-0.37311,0.70907,,PC IgG,UC_vs_CD
FOXD2,0.27693,-0.96798,2.843,-0.34048,0.7335,,PC IgG,UC_vs_CD
SPATA6,0.013002,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
BEND5,0.35556,0.33196,1.4496,0.229,0.81887,,PC IgG,UC_vs_CD
FAF1,3.5739,-0.58407,0.397,-1.4712,0.14123,,PC IgG,UC_vs_CD
CDKN2C,15.079,1.4896,0.27219,5.4728,4.4304e-08,4.1535e-05,PC IgG,UC_vs_CD
LINC01562,1.4494,-0.7597,0.88806,-0.85546,0.3923,,PC IgG,UC_vs_CD
RNF11,8.4389,-0.5385,0.31639,-1.702,0.088751,0.37641,PC IgG,UC_vs_CD
AL162430.2,0.02046,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
TTC39A,0.55427,-0.37326,1.5514,-0.24059,0.80987,,PC IgG,UC_vs_CD
EPS15,23.111,-0.63365,0.26974,-2.3491,0.018821,0.19243,PC IgG,UC_vs_CD
AC104170.2,0.087625,-1.2545,3.6771,-0.34117,0.73297,,PC IgG,UC_vs_CD
AC104170.1,0.047431,-1.68,3.8968,-0.43113,0.66638,,PC IgG,UC_vs_CD
OSBPL9,25.275,-0.27851,0.18721,-1.4877,0.13684,0.45735,PC IgG,UC_vs_CD
NRDC,67.223,0.50333,0.2387,2.1086,0.034981,0.24977,PC IgG,UC_vs_CD
AL050343.1,0.44194,-0.75732,1.0826,-0.69955,0.48421,,PC IgG,UC_vs_CD
AL050343.2,0.10223,-0.93135,3.617,-0.25749,0.7968,,PC IgG,UC_vs_CD
RAB3B,0.72671,-0.599,1.0848,-0.5522,0.58081,,PC IgG,UC_vs_CD
TXNDC12,34.247,0.46569,0.31076,1.4985,0.13399,0.45466,PC IgG,UC_vs_CD
KTI12,2.588,-0.58387,0.5964,-0.979,0.32758,,PC IgG,UC_vs_CD
AL445685.1,0.024378,-0.85175,3.9354,-0.21644,0.82865,,PC IgG,UC_vs_CD
BTF3L4,23.037,0.45465,0.18341,2.4789,0.013177,0.16498,PC IgG,UC_vs_CD
ZFYVE9,0.58041,0.88652,1.6681,0.53145,0.59511,,PC IgG,UC_vs_CD
CC2D1B,2.117,-0.53706,0.61484,-0.8735,0.38239,,PC IgG,UC_vs_CD
ORC1,0.29692,0.35846,1.3938,0.25719,0.79703,,PC IgG,UC_vs_CD
PRPF38A,16.737,-0.30921,0.30906,-1.0005,0.31709,0.65196,PC IgG,UC_vs_CD
TUT4,34.159,-0.38176,0.23072,-1.6547,0.097989,0.39512,PC IgG,UC_vs_CD
GPX7,10.957,0.2669,0.32175,0.82952,0.40681,0.71891,PC IgG,UC_vs_CD
SHISAL2A,1.6737,-0.96044,0.71058,-1.3516,0.17649,,PC IgG,UC_vs_CD
COA7,3.0191,0.40178,0.60921,0.65951,0.50957,,PC IgG,UC_vs_CD
