gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
PTAFR,0.15749,0.66294,3.3281,0.19919,0.84211,,Epithelium Ribhi,CD_vs_HC
DNAJC8,22.198,-0.18316,0.27423,-0.66792,0.50419,0.97337,Epithelium Ribhi,CD_vs_HC
ATP5IF1,164.75,-0.39496,0.26704,-1.479,0.13913,0.8632,Epithelium Ribhi,CD_vs_HC
AL353622.1,0.92475,-0.74276,0.6499,-1.1429,0.25309,,Epithelium Ribhi,CD_vs_HC
AL353622.2,0.13751,-1.9851,1.5718,-1.263,0.20659,,Epithelium Ribhi,CD_vs_HC
SESN2,5.7475,0.51813,0.36205,1.4311,0.1524,0.86612,Epithelium Ribhi,CD_vs_HC
MED18,2.9766,0.15625,0.58599,0.26664,0.78974,0.99024,Epithelium Ribhi,CD_vs_HC
PHACTR4,24.279,-0.1514,0.33847,-0.44732,0.65464,0.98324,Epithelium Ribhi,CD_vs_HC
RCC1,7.8025,0.42892,0.36655,1.1702,0.24194,0.90184,Epithelium Ribhi,CD_vs_HC
TRNAU1AP,7.1613,-0.37124,0.3011,-1.2329,0.21759,0.89376,Epithelium Ribhi,CD_vs_HC
SNHG12,48.784,0.5701,0.57266,0.99553,0.31948,0.93012,Epithelium Ribhi,CD_vs_HC
TAF12,4.3132,-0.27527,0.36101,-0.76251,0.44576,0.96196,Epithelium Ribhi,CD_vs_HC
RAB42,0.34489,-0.6525,1.7116,-0.38123,0.70303,,Epithelium Ribhi,CD_vs_HC
LINC01715,0.084553,0.62065,1.5187,0.40867,0.68278,,Epithelium Ribhi,CD_vs_HC
AL360012.1,7.0492,0.32061,0.46542,0.68887,0.4909,0.96991,Epithelium Ribhi,CD_vs_HC
GMEB1,3.403,-0.49005,0.43234,-1.1335,0.25701,0.90981,Epithelium Ribhi,CD_vs_HC
YTHDF2,12.793,0.47195,0.33716,1.3998,0.16158,0.86721,Epithelium Ribhi,CD_vs_HC
OPRD1,0.059435,0.39694,2.6555,0.14948,0.88118,,Epithelium Ribhi,CD_vs_HC
AL009181.1,0.21787,0.81845,1.3569,0.60319,0.54638,,Epithelium Ribhi,CD_vs_HC
EPB41,17.57,-0.39074,0.26362,-1.4822,0.13829,0.86211,Epithelium Ribhi,CD_vs_HC
TMEM200B,0.023661,-0.20075,3.8005,-0.052822,0.95787,,Epithelium Ribhi,CD_vs_HC
AL357500.1,0.044588,0.89843,3.9029,0.23019,0.81794,,Epithelium Ribhi,CD_vs_HC
SRSF4,28.941,0.2586,0.26806,0.96472,0.33469,0.93287,Epithelium Ribhi,CD_vs_HC
MECR,4.0086,0.089871,0.40374,0.22259,0.82385,0.99095,Epithelium Ribhi,CD_vs_HC
PTPRU,0.59499,0.41472,3.9453,0.10512,0.91628,,Epithelium Ribhi,CD_vs_HC
LINC01648,0.97451,1.5324,1.388,1.104,0.2696,,Epithelium Ribhi,CD_vs_HC
MATN1,0.20091,-0.93607,1.4952,-0.62605,0.53129,,Epithelium Ribhi,CD_vs_HC
MATN1-AS1,1.804,1.1653,0.65628,1.7756,0.075798,0.7646,Epithelium Ribhi,CD_vs_HC
LAPTM5,1.706,1.0195,1.2272,0.83079,0.40609,0.95561,Epithelium Ribhi,CD_vs_HC
LINC01778,0.014779,0.83285,3.5891,0.23205,0.8165,,Epithelium Ribhi,CD_vs_HC
SDC3,1.2578,0.56675,1.0883,0.52079,0.60251,0.98068,Epithelium Ribhi,CD_vs_HC
PUM1,23.399,0.075566,0.2819,0.26805,0.78866,0.99024,Epithelium Ribhi,CD_vs_HC
SNRNP40,6.9427,-0.76816,0.40237,-1.9091,0.056249,0.7132,Epithelium Ribhi,CD_vs_HC
ZCCHC17,6.7242,-0.52232,0.39156,-1.3339,0.18223,0.8768,Epithelium Ribhi,CD_vs_HC
FABP3,0.1181,-1.4396,1.6077,-0.89543,0.37056,,Epithelium Ribhi,CD_vs_HC
SERINC2,28.898,-0.8416,0.31071,-2.7086,0.0067569,0.28918,Epithelium Ribhi,CD_vs_HC
AC114488.1,0.57054,-0.43572,0.75179,-0.57957,0.5622,,Epithelium Ribhi,CD_vs_HC
TINAGL1,11.842,0.16785,0.40897,0.41041,0.68151,0.98552,Epithelium Ribhi,CD_vs_HC
PEF1,6.3917,-0.42406,0.33713,-1.2579,0.20844,0.88518,Epithelium Ribhi,CD_vs_HC
AC114488.2,0.085999,0.067333,1.5707,0.042869,0.96581,,Epithelium Ribhi,CD_vs_HC
AC114488.3,0.1565,-0.83271,1.8094,-0.4602,0.64537,,Epithelium Ribhi,CD_vs_HC
COL16A1,2.2864,-0.47242,0.68453,-0.69013,0.49011,0.96991,Epithelium Ribhi,CD_vs_HC
ADGRB2,0.13795,1.9894,1.4042,1.4167,0.15658,,Epithelium Ribhi,CD_vs_HC
SPOCD1,0.1817,1.7094,1.6744,1.0209,0.3073,,Epithelium Ribhi,CD_vs_HC
AL354919.1,0.037549,-0.66374,2.4573,-0.27011,0.78707,,Epithelium Ribhi,CD_vs_HC
AL136115.2,0.28885,-2.2747,1.3271,-1.7141,0.086512,,Epithelium Ribhi,CD_vs_HC
PTP4A2,28.78,-0.18622,0.26865,-0.69317,0.48821,0.96991,Epithelium Ribhi,CD_vs_HC
KHDRBS1,16.16,-0.40363,0.42989,-0.93891,0.34777,0.93937,Epithelium Ribhi,CD_vs_HC
AL445248.1,0.70101,0.65528,0.75039,0.87325,0.38253,,Epithelium Ribhi,CD_vs_HC
TMEM39B,1.6042,-0.30145,0.46372,-0.65007,0.51565,0.97599,Epithelium Ribhi,CD_vs_HC
KPNA6,9.3693,-0.33867,0.26398,-1.2829,0.19952,0.88125,Epithelium Ribhi,CD_vs_HC
TXLNA,8.3203,-0.034372,0.28384,-0.1211,0.90361,0.99545,Epithelium Ribhi,CD_vs_HC
CCDC28B,0.93441,-0.9936,1.0059,-0.98781,0.32325,,Epithelium Ribhi,CD_vs_HC
AL049795.1,0.25002,-0.66953,1.0873,-0.61577,0.53805,,Epithelium Ribhi,CD_vs_HC
IQCC,1.4646,-0.80179,0.58885,-1.3616,0.17331,0.87162,Epithelium Ribhi,CD_vs_HC
DCDC2B,0.25404,-0.57549,1.474,-0.39043,0.69622,,Epithelium Ribhi,CD_vs_HC
TMEM234,4.4772,0.23042,0.41077,0.56096,0.57483,0.98049,Epithelium Ribhi,CD_vs_HC
EIF3I,26.313,-0.032208,0.25835,-0.12466,0.90079,0.99545,Epithelium Ribhi,CD_vs_HC
