cluster,major_type,purity,n_cells
0,PC IgA,0.524,5723
1,CD4,0.564,5260
2,CD8,0.551,4547
3,Colonocytes,0.462,3814
4,CD4,0.291,3036
5,PC IgG,0.772,2955
6,S1,0.349,2478
7,Colonocytes,0.829,2258
8,Goblet,0.705,2252
9,B cell,0.562,2201
10,M0,0.21,2167
11,PC IgG,0.323,1627
12,Epithelium Ribhi,0.564,994
13,Mast,0.808,874
14,PC IgA IgM,0.443,847
15,DN,0.207,798
16,N1,0.437,552
17,Tuft cells,0.917,435
18,Endothelium,0.648,304
19,Glia,0.541,181
20,M2,0.012,85
